packet,bit_limit,bits_consumed,envelope_seed_6b,frame_scalar_7b,coupling_vlc_flag,band_count_Nb,alloc_budget,refine_bound_M,idx_list_len
2,744,737,17,109,0,34,565,128,127
16,744,735,55,89,1,34,569,128,127
17,744,739,27,103,1,34,567,128,127
