0.0,0.3919999897480011,0.7609999775886536,1.1200000047683716,1.4769999980926514,1.8320000171661377,2.183000087738037,2.5409998893737793,2.8929998874664307,3.244999885559082,3.5980000495910645,3.941999912261963,4.288000106811523,4.723999977111816
0.5440000295639038,1.059999942779541,1.562999963760376,2.068000078201294,2.571000099182129,3.072000026702881,3.562000036239624,4.070000171661377,4.619999885559082
0.0
0.0
0.7459999918937683,1.4639999866485596,2.180000066757202,2.881999969482422,3.5840001106262207,4.315999984741211
0.0
0.0
0.0
0.0,1.00600004196167,2.0,2.993000030517578,3.984999895095825
0.0
0.0
0.0
0.0
0.0,1.3209999799728394,2.703000068664551,3.9830000400543213
0.0
0.0
0.0
0.0
0.0
1.656999945640564,3.490999937057495
0.0
0.0
0.0
0.0
0.0
0.0,1.9639999866485596
0.0
0.0
0.0
0.0
0.0
0.0
